Status_Rawan,Pendidikan_KRT,KRT_Rawan,Penerima_Transfer,Aset_Tanah,Akses_Internet,Sakit_Namun_Tidak_Rawat_Jalan,PKH,KKS,BPNT,Bantuan_Pemda,BPJS,Jamkesda,KIP,PIP,Jenis_Atap,Jenis_Lantai,Jenis_Dinding,Luas_Lantai,Listrik,Bahan_Bakar_Masak,Sumber_Air_Minum,Air_Minum_Layak,Sanitasi_Layak,Jenis_Kelamin_KRT,Umur_KRT,Status_Bekerja_KRT,ART,ART014,Buta_Huruf,Perokok,Status_Bangunan,Tabungan,Status_Daerah,Akses_KUR
Tidak Rawan,SMP,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Tembok/Plesteran/anyaman,105,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Laki-Laki,43,Ya,5 atau lebih,3 atau lebih,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,Tidak Sekolah,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,56,Listrik,LPG 3Kg,Lainnya,Ya,Ya,Perempuan,85,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Bebas Sewa,Tidak Ada,Kota,Tidak
Tidak Rawan,SMA,Tidak,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Marmer/Keramik,Tembok/Plesteran/anyaman,96,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Ya,Laki-Laki,43,Ya,3,1,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Rawan,SMA,Tidak,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,78,Listrik,LPG 3Kg,Sumur bor/pompa,Ya,Tidak,Laki-Laki,42,Ya,4,1,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Tidak Rawan,SMP,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,100,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Laki-Laki,31,Ya,3,1,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,80,Listrik,LPG 3Kg,Lainnya,Ya,Tidak,Perempuan,67,Ya,3,Tidak Ada,Tidak Ada,1,Milik sendiri,Tidak Ada,Desa,Tidak
Rawan,SMP,Ya,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,90,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Ya,Perempuan,39,Tidak,4,1,Tidak Ada,Tidak Ada,Milik sendiri,1,Kota,Tidak
Tidak Rawan,Tidak Tamat SD,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,42,Listrik,LPG 3Kg,Air kemasan/isi Ulang,Tidak,Tidak,Perempuan,49,Tidak,1,Tidak Ada,Tidak Ada,Tidak Ada,Milik sendiri,1,Desa,Tidak
Tidak Rawan,SD,Tidak,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Ya,Tidak,Tidak,Tidak,Seng,Semen/bata merah,Kayu/Papan,85,Listrik,LPG 3Kg,Lainnya,Tidak,Ya,Laki-Laki,55,Ya,5 atau lebih,Tidak Ada,Tidak Ada,1,Milik sendiri,2 atau lebih,Desa,Tidak
Rawan,Tidak Sekolah,Tidak,Ya,Ya,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Seng,Lainnya,Kayu/Papan,75,Listrik,LPG 3Kg,Lainnya,Tidak,Tidak,Perempuan,51,Ya,1,Tidak Ada,Tidak Ada,Tidak Ada,Kontrak/sewa,Tidak Ada,Desa,Tidak
